Año Censal,Entidad,Municipio,farms,Total_Ingresos_Millones
2003,michoacan de ocampo,tangamandapio,11.0,3.869
2003,michoacan de ocampo,tangancicuaro,9.0,4.514
2003,michoacan de ocampo,tanhuato,6.0,25.657
2003,michoacan de ocampo,taretan,5.0,1.223
2003,michoacan de ocampo,tepalcatepec,17.0,22.887999999999998
2003,michoacan de ocampo,tingambato,7.0,1.742
2003,michoacan de ocampo,tlalpujahua,5.0,3.465
2003,michoacan de ocampo,tlazazalca,6.0,2.037
2003,michoacan de ocampo,tumbiscatio,3.0,1.014
2003,michoacan de ocampo,turicato,7.0,1.634
2003,michoacan de ocampo,tuxpan,14.0,7.428
2003,michoacan de ocampo,tuzantla,8.0,2.726
2003,michoacan de ocampo,tzintzuntzan,9.0,1.411
2003,michoacan de ocampo,uruapan,127.0,219.066
2003,michoacan de ocampo,venustiano carranza,12.0,3.175
2003,michoacan de ocampo,zacapu,36.0,74.259
2003,michoacan de ocampo,zamora,82.0,205.027
2003,michoacan de ocampo,zinaparo,3.0,3.115
2003,michoacan de ocampo,zinapecuaro,20.0,22.448
2003,michoacan de ocampo,ziracuaretiro,5.0,0.958
2003,michoacan de ocampo,zitacuaro,45.0,145.446
2003,michoacan de ocampo,jose sixto verduzco,7.0,2.088
2003,morelos,amacuzac,6.0,4.284000000000001
2003,morelos,atlatlahucan,3.0,2.46
2003,morelos,axochiapan,14.0,28.008000000000003
2003,morelos,ayala,17.0,3.434
2003,morelos,cuautla,86.0,117.71600000000001
2003,morelos,cuernavaca,154.0,243.13400000000001
2003,morelos,emiliano zapata,15.0,7.401
2003,morelos,huitzilac,12.0,2.439
2003,morelos,jantetelco,5.0,0.881
2003,morelos,jiutepec,46.0,48.021
2003,morelos,jojutla,30.0,53.571
2003,morelos,jonacatepec de leandro valle,7.0,1.063
2003,morelos,miacatlan,5.0,1.365
2003,morelos,puente de ixtla,17.0,22.143
2003,morelos,temixco,46.0,23.771
2003,morelos,tepalcingo,8.0,1.621
2003,morelos,tlaltizapan de zapata,7.0,3.854
2003,morelos,tlaquiltenango,8.0,4.855
2003,morelos,totolapan,3.0,0.699
2003,morelos,xochitepec,18.0,6.05
2003,morelos,yautepec,38.0,43.151
2003,nayarit,acaponeta,14.0,4.592
2003,nayarit,compostela,50.0,53.053
2003,nayarit,ixtlan del rio,18.0,38.802
2003,nayarit,jala,6.0,2.435
2003,nayarit,ruiz,18.0,9.205
2003,nayarit,san blas,10.0,1.659
2003,nayarit,santiago ixcuintla,31.0,84.536
2003,nayarit,tecuala,27.0,49.792
2003,nayarit,tepic,113.0,396.366
2003,nayarit,tuxpan,13.0,5.312
2003,nayarit,bahia de banderas,20.0,6.326
2003,nuevo leon,allende,12.0,42.277
2003,nuevo leon,anahuac,10.0,9.636
2003,nuevo leon,apodaca,59.0,79.973
2003,nuevo leon,aramberri,5.0,1.345
2003,nuevo leon,cadereyta jimenez,17.0,58.902
2003,nuevo leon,galeana,6.0,1.249
2003,nuevo leon,san pedro garza garcia,31.0,218.086
2003,nuevo leon,general escobedo,48.0,74.696
2003,nuevo leon,guadalupe,140.0,321.919
2003,nuevo leon,juarez,5.0,2.727
2003,nuevo leon,lampazos de naranjo,4.0,1.692
2003,nuevo leon,linares,16.0,40.61
2003,nuevo leon,montemorelos,7.0,4.114
